,Company,Designation,Date Listed,Job Type,Job Period,Profession,Industry,Location Name,Allowance / Remuneration,Company Profile,Job Description
0,Tmr Media Pte Ltd,Digital Marketing Intern,31 May 2024,Entry Level / Junior Executive,"Immediate Start, For At Least 3 Months",Advertising / Media,Creative / Media,"60 Kaki Bukit Place, Singapore","$800 - 1,000 monthly","TMR Media is a Social Media focus media agency. We help SMEs improve their social media exposure, with ideas, content, contests, and video production. We manage social media business pages with industry best practices and up-to-date Ideation. Our dedicated team has years of experience in content creation that drives engagement and brand presence across social media platforms. Accomplishments: 2023: Awarded Creative Agency for Branding & Publicity for NDP2023 Awarded Social Media Agency for Mid Autumn Festival by     People Association 2024: Awarded Creative Agency for Branding & Publicity for NDP2024 Agency to manage Kreta Ayer Isomer website New Entrepreneur of the Year 2023/2024 [ASME] - Jusmin Tan [Director/CMO]","- Support and implement digital marketing activities across a broad range of digital marketing channels- Design and implement social media strategy to support business goals- Constantly seek optimization through performance analysis, A/B, and multivariate testing, usersegmentation, landing page optimization, etc.- Create relevant, compelling, and engaging content for multiple digital platforms for business units under theenrichment arm Support the development of the customer journey framework to create appropriate cross-channelstrategies throughout the digital ecosystem.- Research market trends, brand audiences and competitors, and end-to-end customerjourney to drive engagements and conversions- Data analysis and reports including but not limited to competitor benchmarking, campaign CPA/ROI,and effectiveness Interact, manage, and monitor the performance of external agencies- Monitor, engage and respond to conversations from various communities on our social mediachannels, including addressing customer service situations- Provide support for influencer management and engagement; ensure that deliverables and timelinesare met.- Generate, edit, publish, and share engaging content daily (e.g. original text, photos, videos, and news)- Develop strong relationships with colleagues. teams to ensure the efficient execution of marketinginitiatives- Any other duties that the Company may assign"
1,Creative For More,Graphic Design & Illustration Intern,31 May 2024,"Entry Level / Junior Executive, Experienced / Senior Executive","From 01 Jun 2024, For At Least 3 Months",Design / Creative,Creative / Media,"Tanjong Katong Road, Singapore","$800 - 1,250 monthly","Graphic Design & Illustration InternCreative For More is a forward-thinking digital marketing agency specialising in analytical solutions to enhance business performance. We cater to a wide array of clients, supporting commissions of all sizes across diverse industry sectors. From social media marketing, funnel optimisation, brand conceptualisation, paid advertising, content marketing, influencer marketing, content creation services, web design and development, community management, Creative For More is your source for effective digital marketing strategies. We aim to help businesses of all sizes and industries deliver brand exposure, quality leads, and sales consistently!www.creativeformore.comOur CultureWe are a bunch of innovative, fun and quirky individuals that are motivated and driven to help brands grow.We Are Digital NativesOur entire team is constantly wired, plugged in, and connected digitally.Output-OrientedWe value efficiency so it is the output that matters.You get to work from home for up to one week/month as long as the job is done.Learning CultureWe emphasis on a safe environment to share knowledge and grow.We love exploration and our work environment is inventive and open-minded.New ideas and trial and error are supported.","What you will get to learnYou will get to understand how we develop design and visual communication for various touch-points on the consumer journey.You are able to gain hands on experience on project management and design management for clients across a range of industriesAfter this contractual period, you will get a recommendation letter - and - there is a good chance to convert to a full time role after six months of working with us (3 months, if we really like your work and drive *wink)ResponsibilitiesThink creatively and develop new design concepts, graphics and layoutsWork collaboratively and communicate with the project manager to help manage clients expectation of deliverablesProduce high-quality designs, artworks and layouts for a variety of digital and print assets.Amend final designs to clients comments and gain full approvalAssist team with photoshoots and client meetingsWhat you will be doingWrite creativelyConceptualizing, designing and producing graphics, including but not limited to:Landing pages, eDMs, web banners, graphics for social media (Twitter, LinkedIn, Facebook)Animations for Social Media posts/adsCreative concepts for campaigns, events, and videosInfographics, presentations and whitepapersAssisting our managers in planning and executing social media calendarsStoryboarding, Point and Shoot, Post-Photography or Post-Videography Editing according to our client's brand specificationsResearch trends and also come up with creative concepts (not limited to animations, illustrations etc)Repurpose creative works for Instagram Stories, Youtube, Webinars, etc...Who we are looking forSomeone who is active on social mediaExperienced using tools like Adobe Suite and CanvaEnthusiastic, proactive self-starter, and a strong team playerProficient with the use of a variety of digital and content marketing toolsSomeone with a good command of EnglishExperience in Adobe Creative Suite: Illustrator, Photoshop, Indesign.Having your own DSLR is also a bonus for the photoshootsTeam player and a fast and adept learnerWorking HoursMondays - Fridays: 9.30am - 6.30pmThis role is a hybrid (In office/remote days will be re-arranged at the discretion of management)Potential full-time opportunity once the internship is completed."
2,I'm In,Creative Intern / Creative Executive,31 May 2024,"Entry Level / Junior Executive, Experienced / Senior Executive","Flexible Start, For At Least 6 Months",Design / Creative,Retail / eCommerce,Singapore,"$2,000 - 2,450 monthly","IMINXX.COM- I’M IN is a lingerie brand that designs, manufactures and sells directly to the consumer via web and mobile platforms at a value price. Based in Singapore and debuted in 2015, I’M IN was founded with a mission to inspire women all around the world with intimate wear. It has grown at a rapid pace and established itself as a recognisable lingerie brand for women from all walks of life.","Role Description:The position will work in close collaboration with the commercial team in HQ, in order to leverage business opportunities.Key responsibilities:Photography of new launches, campaigns & flatlaysVideography of new launches & campaigns.Creation of storyboards for campaigns, new launches.Daily visual design creation across various channels.Creation of videos & photos for Instagram, Tiktok, Youtube.Assist in photoshoots, styling & planning.Research and propose new ways to execute creative campaigns.Provide assistance to Brand Team on advertising campaigns, social media campaigns, events, product launches.Competencies:Design and create creative visuals using Canva, Adobe Photoshop, Adobe illustrator.Videography and post editing skill required using Adobe Premiere Pro.Photo editing and retouching using Adobe LightroomQualifications and Requirements:Skilled in Photoshop, Lightroom, Premiere Pro, Canva.Basic knowledge in photography & videography.Good team player, excellent attitude and diligent.Attention to detail, excellent time management.Diploma/Degree in Design will be preferred.Working Hours: Monday to Friday 9:00am to 6:00pm.Able to start work immediately."
3,TwentyFour7,Blockchain Developer,31 May 2024,Experienced / Senior Executive,"Immediate Start, For At Least 6 Months",Engineering,Computer and IT,United States,$45 hourly,"TwentyFour7 was founded on the principle that technology should be a powerful tool for businesses, not a hindrance. Our team of experts has years of experience in the IT industry, and we've worked with a wide range of clients across various industries. From small startups to large enterprises, we've helped organizations of all sizes overcome their IT challenges and achieve their goals.At TwentyFour7, we're a team of experienced IT professionals dedicated to providing innovative solutions that drive business success. Our mission is to help organizations of all sizes leverage technology to improve efficiency, reduce costs, and enhance their overall competitiveness.","We are seeking a skilled and experienced Blockchain Developer to join our dynamic team. As a Blockchain Developer, you will be responsible for designing, implementing, and supporting blockchain solutions. You should have a strong background in blockchain technologies, with expertise in solidity, web3, nodejs, javascript, and typescript.Responsibilities:-Design and implement blockchain solutions using smart contracts and decentralized applications-Collaborate with cross-functional teams to define, design, and ship new features-Identify and resolve performance and scalability issues-Develop and maintain blockchain protocols, standards, and best practices-Conduct thorough testing and troubleshooting of blockchain applications-Keep up-to-date with the latest blockchain trends, technologies, and advancementsIf you are a passionate and innovative Blockchain Developer with a strong foundation in blockchain technologies, we encourage you to apply for this exciting opportunity. Join our team and contribute to the future of decentralized systems and applications."
4,Trilogy Technologies Pte Ltd,Administrative Executive,31 May 2024,"Entry Level / Junior Executive, Experienced / Senior Executive","Immediate Start, Permanent",Engineering,Electronics,"Ang Mo Kio Avenue 5, Singapore","$2,500 - 4,500 monthly","Trilogy Technologies Pte Ltd is a Singapore based, one-stop engineering turnkey manufacturing contract service and solution provider. With in-house production facilities, Trilogy has the expertise to conceptualize ideas to actual prototype, deployment manufacturing, and final product. We are expanding into aerospace and medical industries, and are looking for dynamic and driven individuals to provide critical administrative support.",We are looking for a dynamic and adaptive individual to provide administrative support to the company ranging from the below but not limited to it:1. Support management with all admin duties2. Provide admin support for projects3. Goods import and export documentations4. Good receiving and keep track of receivable and duly disbursement of items to respective individual5. Keep track of timelines for various project works6. Provide coverage for some forms of HR admin duties7. Purchasing of items as per needed by projects8. Secretariat/HR duties to the directors9 Marketing / Sales duties if deemed to be suitableWe are looking for a person who can work in a fast pace environment and the experience will be enriching with a good career progression. Fresh graduate will be considered with the right attitude and passion in wanting to serve.
5,ZYRUP Media Pte Ltd,Projects Intern,31 May 2024,Entry Level / Junior Executive,"Flexible Start, For At Least 3 Months",Advertising / Media,Creative / Media,"Jalan Pemimpin, MAPEX, Singapore","$800 - 1,000 monthly","ZYRUP Media is a digital media company that comprises two main divisions: a full-service media solutions division that works with clients like consumer brands, agencies, organisations and talents; and an entertainment division with owned media platforms like digital pop culture magazine ZYRUPMAG and the Zodapop podcast network.On the client servicing end, ZYRUP Media is proud to have worked with top-tier brands and agencies on projects like marketing campaigns, social media campaigns, influencer engagements, video production, photography, event activations, and more.On the consumer-facing front, ZYRUP Media's owned entertainment brands include podcast network Zodapop and digital publication ZYRUPMAG. Having developed a niche in thoughtful and informed discussions, ZYRUP Media aims to position its entertainment products as the go-to “infotainment” platforms and to facilitate and drive meaningful discourse among young adults in Singapore.","Projects InternA wide-ranging role. On the client-servicing front, you will learn how to manage and execute client projects and conceptualise campaigns and/or strategies. This includes planning and research work, and working with talent agencies and/or talents. On the consumer front, you will learn how to plan and execute content on various channels like editorial, podcast and video. You will also be contributing to our in-house publication, ZYRUPMAG, where you may learn how to liaise with PR firms and/or publicists, and possibly interview newsmakers and personalities. You will also work alongside podcast creators, assisting in their content and scripting process. Lastly, you will assist with campaigns that require creativity and writing, including scripting and conceptualisation.Apply if you are: Interested in a more flexible role that allows you to wear different hats, and if you are strong in your communication skills (specifically, in written English) and can express yourself well.REQUIREMENTS:Must be proficient in English, both written and spokenOrganised, responsible and able to work independentlyOwns a laptopPrior industry experience is a bonus, but not neededAble to work in a fast-paced environment18 years old and above onlyOptimistic team player with a can-do attitudeHave a keen learning attitudeAble to work in a fast-paced environmentAdaptable, flexible, and possess problem-solving skillsOTHER INFORMATION:Paid internship position. Interns will be paid a monthly stipend at the end of each month.Hybrid internship, with both in-office and remote working days, but may be required to attend meetings, activations, and other events outside of the office as requested by supervisors.All nationalities free to apply, but must be based in Singapore. Do note that foreigners applying for an internship will need to fulfil the necessary requirements first.Internships with ZYRUP Media are typically full-time and have a typical commitment period of three (3) months. If you have other arrangements in mind, that can be discussed during the interview.Further details and arrangements can be discussed and confirmed with the supervisor."
6,The Art Nooq Pte Ltd,Freelance Painter,31 May 2024,Experienced / Senior Executive,"Flexible Start, Permanent",Design / Creative,Arts / Entertainment / Recreation,"Pearl's Hill Terrace, 195 Pearl's Hill Terrace, Singapore",$200 - 800 (project /contract based),"The Art Nooq is a private art jamming studio located at 195 Pearl Hills Terrace, Other than Art Jamming we do Live Wedding painting and live illustrations for weddings.","Freelance Painter / Illustrator for Wedding and eventsThis is suitable for candidates who are doing freelance work and will be commissioned based onlyMedium: Acrylic, Oil, Watercolor [proficient in either of these 3]To provide design consultation with client to understand their request and provide proposal sketch a month before the wedding.To be present on the wedding day itself to paintTo follow up continuously with client on updates.Note: Candidates do not need to do any sales"
7,Holiday Inn Singapore Little India,Account Officer (Payable),31 May 2024,"Entry Level / Junior Executive, Experienced / Senior Executive","From Jun 2024, Permanent",Accounting / Auditing / Taxation,Hotel and Accommodation Services,"10 Farrer Park Station Road, Singapore","$2,800 - 3,200 monthly","HOLIDAY INN SINGAPORE LITTLE INDIALocated right on top of Farrer Park MRT Station, the hotel is situated amidst a backdrop of the district’s vibrant enclave; where bountiful sights and sounds within this ethnic community thrive.Standing tall amongst surrounding shopping complexes, quaint restaurants and historical shop houses, the 20-storey hotel with its sleek glass exteriors offers panoramic views of the vibrant district, and is a stone's throw to the Central Business District.With a mix of 300 contemporary guest rooms, coupled with modern amenities, Holiday Inn Singapore Little India also features two dining outlets, a swimming pool and gymnasium ideal for business travel or family holidays.","Job Description & RequirementsYour Day to Day -Ensure timely and accurate recording of invoices in the accounting systemLiaise with suppliers and business divisions on any discrepancies in invoices and other supporting documentsReview reconciliation of supplier statementsEnsure compliance of organisational process/proceduresPrepare intercompany schedules and GST reports for submissionTo ensure all documents are properly collated for timely submissionAssist in ad-hoc projects assigned from time to timeRequirements:Degree / Diploma in Accountancy or equivalent professional qualificationExperience in handling transactions and/or accounts of Hotel Industry preferredProficient in Microsoft ExcelPositive working attitude, meticulous with accuracy & efficiencyAble to get along with others and display good team spiritAble to work under pressure and adhere to tight deadlines"
8,Advisors Alliance Group,Financial Services Intern,09 May 2024,Entry Level / Junior Executive,"Flexible Start, For At Least 1 Month",Banking / Finance,Finance,"Raffles Place, Singapore","$500 - 4,000 monthly","Advisors Alliance Group, one of the largest and fastest growing Financial Services Group in Singapore, also the first Financial Services Group in Singapore and whole AIA in 18 countries to achieve the prestigious 100 International Dragon Award (IDA).Guided by the vision, mission, and values, Advisors Alliance Group is in constant pursuit of achieving world-class standards in instructional practice, operating system, culture, philosophies and most importantly bringing valued service to the clients. The organisation believe in impacting lives and always bringing people from where they are today to places they have never been.Over the years, Advisors Alliance Group has built deep roots within the major varsities in Singapore, namely NUS, NTU and SMU, and pioneered the Entrepreneur Internship Programme that has been conducted annually since 2002.Advisors Alliance Group have also adopted a secondary focus to give back to society, through the Goldencare Project, Volunteer Work, Charity, Community Work, and AACares Fund, in collaboration with North West CDC.","OBJECTIVEExpose the interns to the financial services sector.Create a leadership experience and opportunity for our Management Associate position.AREAS OF STUDYThe Career Options in the Financial Services IndustryWealth Management – Retirement, Wealth Expansion/PreservationRisk Management – Corporate/Individual Risk CalculationCredit Cards and Credit ManagementFinancial Portfolio Design and ArchitectSales and Marketing ConceptsBusiness Management & Principles of EntrepreneurshipOne to one mentorship by award winning mentors"
9,Recruit Express,HR Intern,31 May 2024,Entry Level / Junior Executive,"Immediate Start, For At Least 3 Months",Human Resources,Human Resources,"Orchard Road, Singapore",$10 hourly,"Established since 1996, Recruit Express has emerged as the largest and most preferred recruitment consultancy in Singapore. With our vast network of resources, extensive databases and defined recruitment processes, we have been successfully bridging talented job seekers of the highest calibre to employers who only want the best in their teams. In our constant pursuit of excellent service, we have adopted best practices and dynamic growth strategies in expanding our operations across the Asia Pacific regions with offices in Singapore, Hong Kong, Kuala Lumpur and Taipei. With 400 committed consultants from various professional backgrounds and disciplines, we make a difference by delivering top-notch services to our clients and candidates, and live up to our mission of helping people find good jobs and our clients to succeed in business at express speed!EA License No. 99C4599","What's in it for You?- Personalized Mentorship: Experience 1-to-1 mentorship with a tailored learning scope.- Broaden Your Horizons: Gain hands-on experience through site visits with your mentor.Are you ready to take your career to the next level? We are offering an exciting opportunity to oversee prestigious accounts, including Government institutions and MNCs. As part of our team, you'll play a crucial role in meeting our clients' business objectives by delivering tailored recruitment solutions and services.Key Responsibilities:Strategic Account Management:Manage corporate accounts, including Government institutions and MNCs, to meet their business objectives effectively.End-to-End Recruitment:Take charge of the entire recruitment and selection process, ensuring a seamless experience for both clients and candidates.Candidate Sourcing and Screening:Utilize various channels to source and pre-screen candidates through phone calls, virtual, or face-to-face interviews.Candidate Matching:Recommend suitable candidates to job orders based on client requirements and preferences.Interview Coordination:Coordinate and schedule interviews between candidates and clients, ensuring smooth communication throughout the process.Onboarding Management:Facilitate the onboarding process for selected candidates, ensuring a seamless transition into their new roles.Contract Administration:Administer employment contracts and ensure compliance with company policies and MOM regulations.Sales Meeting Attendance:Attend weekly and quarterly sales meetings to discuss progress, challenges, and strategies for achieving targets.Ad Hoc Support:Handle ad hoc duties such as resolving payroll queries and addressing daily operational issues promptly.Requirements:- Min Degree or Diploma in any field is welcome- Good CCA/ Leadership/ Sports records are desirable and advantageous- Able to start in a short notice- No Experience is needed, full training and mentorship provided*Note: We regret that only shortlisted candidates will be contacted.*"
